Match_No,Season,Team_1,Team_2,Winner,Win_Type,Win_Margin,Result_Type,Date,Venue
1,1,rcb,kkr,kkr,runs,140.0,normal,2008-04-18,M Chinnaswamy Stadium
2,1,pk,csk,csk,runs,33.0,normal,2008-04-19,"Punjab Cricket Association Stadium, Mohali"
3,1,dc,rr,dc,wickets,9.0,normal,2008-04-19,Feroz Shah Kotla
4,1,kkr,dcg,kkr,wickets,5.0,normal,2008-04-20,Eden Gardens
5,1,mi,rcb,rcb,wickets,5.0,normal,2008-04-20,Wankhede Stadium
6,1,rr,pk,rr,wickets,6.0,normal,2008-04-21,Sawai Mansingh Stadium
7,1,dcg,dc,dc,wickets,9.0,normal,2008-04-22,"Rajiv Gandhi International Stadium, Uppal"
8,1,csk,mi,csk,runs,6.0,normal,2008-04-23,"MA Chidambaram Stadium, Chepauk"
9,1,dcg,rr,rr,wickets,3.0,normal,2008-04-24,"Rajiv Gandhi International Stadium, Uppal"
10,1,pk,mi,pk,runs,66.0,normal,2008-04-25,"Punjab Cricket Association Stadium, Mohali"
11,1,csk,kkr,csk,wickets,9.0,normal,2008-04-26,"MA Chidambaram Stadium, Chepauk"
12,1,rcb,rr,rr,wickets,7.0,normal,2008-04-26,M Chinnaswamy Stadium
14,1,mi,dcg,dcg,wickets,10.0,normal,2008-04-27,Dr DY Patil Sports Academy
13,1,pk,dc,pk,wickets,4.0,normal,2008-04-27,"Punjab Cricket Association Stadium, Mohali"
15,1,rcb,csk,csk,runs,13.0,normal,2008-04-28,M Chinnaswamy Stadium
16,1,kkr,mi,mi,wickets,7.0,normal,2008-04-29,Eden Gardens
17,1,dc,rcb,dc,runs,10.0,normal,2008-04-30,Feroz Shah Kotla
19,1,dcg,pk,pk,wickets,7.0,normal,2008-05-01,"Rajiv Gandhi International Stadium, Uppal"
18,1,rr,kkr,rr,runs,45.0,normal,2008-05-01,Sawai Mansingh Stadium
20,1,csk,dc,dc,wickets,8.0,normal,2008-05-02,"MA Chidambaram Stadium, Chepauk"
21,1,rcb,dcg,rcb,runs,3.0,normal,2008-05-03,M Chinnaswamy Stadium
22,1,pk,kkr,pk,runs,9.0,normal,2008-05-03,"Punjab Cricket Association Stadium, Mohali"
23,1,mi,dc,mi,runs,29.0,normal,2008-05-04,Dr DY Patil Sports Academy
24,1,rr,csk,rr,wickets,8.0,normal,2008-05-04,Sawai Mansingh Stadium
25,1,rcb,pk,pk,wickets,6.0,normal,2008-05-05,M Chinnaswamy Stadium
26,1,csk,dcg,dcg,wickets,7.0,normal,2008-05-06,"MA Chidambaram Stadium, Chepauk"
27,1,mi,rr,mi,wickets,7.0,normal,2008-05-07,Dr DY Patil Sports Academy
29,1,kkr,rcb,kkr,runs,5.0,normal,2008-05-08,Eden Gardens
28,1,dc,csk,csk,wickets,4.0,normal,2008-05-08,Feroz Shah Kotla
30,1,rr,dcg,rr,wickets,8.0,normal,2008-05-09,Sawai Mansingh Stadium
31,1,csk,pk,csk,runs,18.0,normal,2008-05-10,"MA Chidambaram Stadium, Chepauk"
32,1,dcg,kkr,kkr,runs,23.0,normal,2008-05-11,"Rajiv Gandhi International Stadium, Uppal"
33,1,rr,dc,rr,wickets,3.0,normal,2008-05-11,Sawai Mansingh Stadium
34,1,pk,rcb,pk,wickets,9.0,normal,2008-05-12,"Punjab Cricket Association Stadium, Mohali"
35,1,kkr,dc,kkr,runs,23.0,normal,2008-05-13,Eden Gardens
36,1,mi,csk,mi,wickets,9.0,normal,2008-05-14,Wankhede Stadium
37,1,dc,dcg,dc,runs,12.0,normal,2008-05-15,Feroz Shah Kotla
38,1,mi,kkr,mi,wickets,8.0,normal,2008-05-16,Wankhede Stadium
39,1,rr,rcb,rr,runs,65.0,normal,2008-05-17,Sawai Mansingh Stadium
40,1,dc,pk,pk,runs,6.0,normal,2008-05-17,Feroz Shah Kotla
41,1,kkr,csk,csk,runs,3.0,normal,2008-05-18,Eden Gardens
42,1,dcg,mi,mi,runs,25.0,normal,2008-05-18,"Rajiv Gandhi International Stadium, Uppal"
43,1,rcb,dc,dc,wickets,5.0,normal,2008-05-19,M Chinnaswamy Stadium
44,1,kkr,rr,rr,wickets,6.0,normal,2008-05-20,Eden Gardens
45,1,mi,pk,pk,runs,1.0,normal,2008-05-21,Wankhede Stadium
46,1,csk,rcb,rcb,runs,14.0,normal,2008-05-21,"MA Chidambaram Stadium, Chepauk"
